timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-07-12 18:52:05.610627	[0.025222934994846614, 0.20600649009148286, 1.391]	[-0.047678276292979715, -0.05557486744721733, 1.454]	[-0.011537241049110889, 0.22519821015000344, 1.217]
2024-07-12 18:52:05.810495	[0.02582446262240407, 0.20893195152282723, 1.395]	[-0.05576475296169522, -0.08980187743902207, 1.415]	[-0.011816915988922119, 0.22072451376914978, 1.224]
2024-07-12 18:52:06.087899	[0.025515855867415664, 0.2102843199372292, 1.389]	[-0.17890696636587383, -0.20972622195879626, 1.9060000000000001]	[-0.011301299393177032, 0.23478904181718824, 1.214]
2024-07-12 18:52:06.286120	[0.023596759557724, 0.21867709064483645, 1.3920000000000001]	[-0.7608545551411807, -0.2686508439183235, 6.434]	[-0.011560608956962825, 0.24833604893088343, 1.213]
2024-07-12 18:52:06.484297	[0.02157622405886647, 0.20840499524275466, 1.391]	[-0.20476452791690827, 0.08748839569091804, 1.824]	[-0.011644796901382507, 0.24000304341316225, 1.215]
2024-07-12 18:52:06.759156	[0.017699235029518576, 0.18636613102753952, 1.466]	[-0.21059575667604805, 0.08941509455442428, 1.835]	[-0.015188705669716, 0.22784450417757032, 1.214]
2024-07-12 18:52:06.956365	[-0.0048028816636651595, 0.07194580060243606, 1.557]	[-0.22669743787497282, 0.08612129410107923, 1.82]	[-0.025747637576423586, 0.23620209842920306, 1.215]
2024-07-12 18:52:07.127698	[0.07569794176518914, -0.08251411847273507, 1.526]	[-0.24826480248570443, 0.15231463479995727, 1.852]	[-0.04015667365863919, 0.2549965691566467, 1.22]
2024-07-12 18:52:07.361125	[0.15177623999118803, 0.02025705909729011, 1.848]	[-0.2500547451339662, 0.1686515839099884, 1.822]	[-0.04581017648801208, 0.24788582673668863, 1.221]
2024-07-12 18:52:07.593821	[0.1408003285042941, 0.15943142120043444, 1.817]	[-0.25491301258094606, 0.17638648092746728, 1.83]	[-0.04639010409079492, 0.2559216389358044, 1.219]
2024-07-12 18:52:07.814114	[0.08597661123052237, 0.15339433139562608, 1.231]	[-0.2577574296947569, 0.18305905405680334, 1.834]	[-0.04766448653675615, 0.257916364967823, 1.218]
2024-07-12 18:52:08.012738	[0.08464969955384735, 0.1558088863889376, 1.225]	[-0.25651129591092464, 0.18983142729600264, 1.841]	[-0.048683921378105885, 0.25335303112864493, 1.219]
2024-07-12 18:52:08.225985	[0.08508231025189161, 0.13241179287433624, 1.25]	[-0.30846926840767264, 0.18700462973117835, 2.166]	[-0.049044794672168796, 0.2550670711398125, 1.219]
2024-07-12 18:52:08.439113	[0.08470573373883963, -0.048334892153739935, 1.546]	[-0.8203444032557308, -0.11919594365358342, 5.634]	[-0.04846334810089321, 0.24246373808383945, 1.221]
2024-07-12 18:52:08.715018	[0.0068235119730234465, -0.14586660397052764, 1.548]	[-0.17040181669592858, -0.1453200279076894, 1.543]	[-0.0485270082950592, 0.25314395713806154, 1.216]
