timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-07-16 12:47:55.579035	[0.0658931867927313, 0.346194583495458, 1.066]	[-0.2375001586619765, -0.07777476122975349, 2.661]	[0.04420834617689252, 0.37694075822830203, 1.57]
2024-07-16 12:47:55.736137	[0.06510458216071131, 0.3477777514457703, 1.068]	[-0.2399632167220116, -0.1575315196315448, 2.746]	[0.04693306181766092, 0.39111376699805256, 1.629]
2024-07-16 12:47:55.969654	[0.06454620015621187, 0.3422398233413696, 1.068]	[-0.2586014383658767, -0.30992474861939734, 2.956]	[0.04464031686075032, 0.3816607759594917, 1.593]
2024-07-16 12:47:56.139993	[0.06527810525894168, 0.3492789287567139, 1.068]	[-0.2598463785108179, -0.40214394672711695, 3.041]	[0.04380025367438793, 0.3754989948272705, 1.582]
2024-07-16 12:47:56.359025	[0.06501185553520919, 0.34906744641065596, 1.067]	[-0.26501647054776545, -0.5365795000493526, 3.241]	[0.04624155896343291, 0.38965426084399224, 1.663]
2024-07-16 12:47:56.590148	[0.06452404725551603, 0.35060025167465203, 1.068]	[-0.26564273620024326, -0.6268635764916739, 3.329]	[0.045659104971215135, 0.3767059574127197, 1.637]
2024-07-16 12:47:56.826581	[0.06646917945519092, 0.34863003949324295, 1.067]	[-0.2609822068568319, -0.7584782753189404, 3.493]	[0.04585627417266369, 0.3802160317897797, 1.592]
2024-07-16 12:47:57.061022	[0.066702354144305, 0.3488931874632835, 1.067]	[-0.2537758820056915, -0.8557110200822353, 3.609]	[0.046927375718951225, 0.3832540111541748, 1.608]
2024-07-16 12:47:57.218811	[0.06706330481171606, 0.3504263992706934, 1.066]	[-0.23080876210704449, -0.8886509992281598, 3.539]	[0.04900123491883277, 0.3992838269472122, 1.69]
2024-07-16 12:47:57.395013	[0.06732558003813029, 0.3507355778614679, 1.066]	[-0.21767136661335826, -0.9305291297038394, 3.59]	[0.04632000118866563, 0.37125509309768684, 1.606]
2024-07-16 12:47:57.630897	[0.066977658636868, 0.3500533662239711, 1.067]	[-0.21145854558795688, -0.9374131839275363, 3.594]	[0.046540786519646646, 0.37097170543670654, 1.607]
2024-07-16 12:47:57.855306	[0.06689975487068298, 0.34911790094772976, 1.067]	[-0.19981265594065187, -0.928787916739782, 3.496]	[0.047490188900381335, 0.3727435985207558, 1.6340000000000001]
2024-07-16 12:47:58.089875	[0.06699418281018732, 0.3471516646941504, 1.066]	[-0.20849802464246753, -0.906153934796651, 3.56]	[0.048342276262119406, 0.3814981592595577, 1.629]
2024-07-16 12:47:58.310642	[0.06877609368413684, 0.3445924377441406, 1.066]	[-0.24627165457047528, -0.7962578818798065, 3.567]	[0.05203844935074449, 0.37021168208122257, 1.622]
2024-07-16 12:47:58.480432	[0.06766655783727764, 0.3453924693663914, 1.067]	[-0.2580689668469131, -0.606024376451969, 3.33]	[0.047436978366225964, 0.3682241930365563, 1.566]
2024-07-16 12:47:58.704944	[0.06890151080489158, 0.3433784641623497, 1.067]	[-0.12498387005925178, -0.21754484724998469, 1.512]	[0.04866038918495178, 0.37774324309825896, 1.571]
